"country","gdp_pc","iso3c"
"Andorra",,"AND"
"United Arab Emirates",68548.5147178225,"ARE"
"Afghanistan",2241.92324554494,"AFG"
"Antigua and Barbuda",21614.066057539,"ATG"
"Albania",13833.9816028337,"ALB"
"Armenia",13014.9920304791,"ARM"
"Angola",7097.11876818067,"AGO"
"Argentina",23282.6370416077,"ARG"
"American Samoa",,"ASM"
"Austria",56871.2113998202,"AUT"
"Australia",51036.4058896921,"AUS"
"Aruba",,"ABW"
"Azerbaijan",14544.953356988,"AZE"
"Bosnia and Herzegovina",14932.3732053358,"BIH"
"Barbados",16044.7277974563,"BRB"
"Bangladesh",4546.22741835774,"BGD"
"Belgium",52249.5734616414,"BEL"
"Burkina Faso",2181.84586508627,"BFA"
"Bulgaria",22601.4034869416,"BGR"
"Bahrain",47333.491198074,"BHR"
"Burundi",779.493818360614,"BDI"
"Benin",3235.36169466976,"BEN"
"Bermuda",,"BMU"
"Brunei Darussalam",61813.8951635958,"BRN"
"Bolivia",8859.77372697949,"BOL"
"Brazil",14940.6726059252,"BRA"
"Bahamas, The",36338.2476758429,"BHS"
"Bhutan",11613.1624746864,"BTN"
"Botswana",18050.253744072,"BWA"
"Belarus",19330.8688790098,"BLR"
"Belize",7287.08497750719,"BLZ"
"Canada",50077.796236328,"CAN"
"Congo, Dem. Rep.",1111.51744670518,"COD"
"Central African Republic",955.128061489303,"CAF"
"Congo, Rep.",3494.98573870995,"COG"
"Switzerland",69357.4860551593,"CHE"
"Cote d'Ivoire",5147.58709147615,"CIV"
"Chile",24765.2345896396,"CHL"
"Cameroon",3688.58153418891,"CMR"
"China",15602.9414731562,"CHN"
"Colombia",14965.8953560561,"COL"
"Costa Rica",19873.1395497527,"CRI"
"Cuba",,"CUB"
"Cabo Verde",7026.12016117731,"CPV"
"Curacao",25571.6467592754,"CUW"
"Cyprus",39737.3251870293,"CYP"
"Czech Republic",40389.3576070809,"CZE"
"Germany",54456.9292560641,"DEU"
"Djibouti",5337.12492479801,"DJI"
"Denmark",57218.406447274,"DNK"
"Dominica",11805.5536203546,"DMA"
"Dominican Republic",18129.7086368998,"DOM"
"Algeria",11750.3791701101,"DZA"
"Ecuador",11834.5708702335,"ECU"
"Estonia",36358.0277629012,"EST"
"Egypt, Arab Rep.",11634.5468507436,"EGY"
"Eritrea",,"ERI"
"Spain",40482.5890103223,"ESP"
"Ethiopia",2153.1494151845,"ETH"
"Finland",49373.1839591315,"FIN"
"Fiji",14133.8933294054,"FJI"
"Micronesia, Fed. Sts.",3550.41595018639,"FSM"
"Faroe Islands",,"FRO"
"France",46605.1863431702,"FRA"
"Gabon",15091.2880733806,"GAB"
"United Kingdom",46956.0777631492,"GBR"
"Grenada",17197.6580728223,"GRD"
"Georgia",14593.504870131,"GEO"
"Ghana",5317.01175916129,"GHA"
"Gibraltar",,"GIB"
"Greenland",,"GRL"
"Gambia, The",2194.82215924984,"GMB"
"Guinea",2557.38080921857,"GIN"
"Equatorial Guinea",20840.2747680871,"GNQ"
"Greece",30354.34900426,"GRC"
"Guatemala",8647.82154406103,"GTM"
"Guam",,"GUM"
"Guinea-Bissau",1995.17215617401,"GNB"
"Guyana",9531.88462306121,"GUY"
"Hong Kong SAR, China",62513.0322988904,"HKG"
"Honduras",5806.10101352249,"HND"
"Croatia",28038.685406021,"HRV"
"Haiti",1808.87603237859,"HTI"
"Hungary",31578.7598003737,"HUN"
"Indonesia",11639.8650613917,"IDN"
"Ireland",84459.651636941,"IRL"
"Israel",40261.3380291629,"ISR"
"Isle of Man",,"IMN"
"India",6650.11214875053,"IND"
"Iraq",10911.6379077587,"IRQ"
"Iran, Islamic Rep.",,"IRN"
"Iceland",57742.1502788848,"ISL"
"Italy",42816.2029669895,"ITA"
"Channel Islands",,"CHI"
"Jamaica",9967.76802350155,"JAM"
"Jordan",10086.4495390365,"JOR"
"Japan",41335.5232236058,"JPN"
"Kenya",4302.99906503207,"KEN"
"Kyrgyz Republic",5254.27848579695,"KGZ"
"Cambodia",4257.4849762936,"KHM"
"Kiribati",2312.25447788198,"KIR"
"Comoros",3139.20577211658,"COM"
"St. Kitts and Nevis",26510.9828195365,"KNA"
"Korea, Dem. Peopleâ€™s Rep.",,"PRK"
"Korea, Rep.",42136.0803851851,"KOR"
"Kuwait",51669.7334168023,"KWT"
"Cayman Islands",72480.5070063498,"CYM"
"Kazakhstan",26147.0460746091,"KAZ"
"Lao PDR",7771.98695398731,"LAO"
"Lebanon",15980.4075711458,"LBN"
"St. Lucia",15621.5983054401,"LCA"
"Liechtenstein",,"LIE"
"Sri Lanka",13168.1714249663,"LKA"
"Liberia",1532.32917045845,"LBR"
"Lesotho",2813.40091304838,"LSO"
"Lithuania",35831.8628150858,"LTU"
"Luxembourg",116786.479974329,"LUX"
"Latvia",30644.6082903445,"LVA"
"Libya",15372.3673538913,"LBY"
"Morocco",7613.14286811515,"MAR"
"Monaco",,"MCO"
"Moldova",12665.0036944684,"MDA"
"Montenegro",21236.4710168295,"MNE"
"St. Martin (French part)",,"MAF"
"Madagascar",1651.16881111374,"MDG"
"Marshall Islands",3986.06800997549,"MHL"
"North Macedonia",16517.4990077922,"MKD"
"Mali",2336.97532015959,"MLI"
"Myanmar",5147.85405122044,"MMR"
"Mongolia",12196.7502625487,"MNG"
"Macao SAR, China",135020.780238907,"MAC"
"Northern Mariana Islands",,"MNP"
"Mauritania",5161.4088356176,"MRT"
"Malta",43555.2050855217,"MLT"
"Mauritius",22732.2345275756,"MUS"
"Maldives",18945.2586504617,"MDV"
"Malawi",1067.12677850415,"MWI"
"Mexico",20396.4777131565,"MEX"
"Malaysia",28186.7049427199,"MYS"
"Mozambique",1319.97224349229,"MOZ"
"Namibia",10166.3372732442,"NAM"
"New Caledonia",,"NCL"
"Niger",1224.7085493495,"NER"
"Nigeria",5276.71842449301,"NGA"
"Nicaragua",5829.25730074023,"NIC"
"Netherlands",57565.197555795,"NLD"
"Norway",67640.1813801458,"NOR"
"Nepal",3329.49805029164,"NPL"
"Nauru",11758.0951206973,"NRU"
"New Zealand",42810.8375120788,"NZL"
"Oman",29268.5566629904,"OMN"
"Panama",31781.8442855275,"PAN"
"Peru",13084.0010333884,"PER"
"French Polynesia",,"PYF"
"Papua New Guinea",4335.89925868782,"PNG"
"Philippines",8717.04798077408,"PHL"
"Pakistan",4851.61275054444,"PAK"
"Poland",31834.4090985051,"POL"
"Puerto Rico",34921.1387519575,"PRI"
"West Bank and Gaza",5795.23155940964,"PSE"
"Portugal",34340.7133450667,"PRT"
"Palau",18496.4356870628,"PLW"
"Paraguay",13153.1600276786,"PRY"
"Qatar",96732.6631914203,"QAT"
"Romania",29213.8414637002,"ROU"
"Serbia",17563.1653653277,"SRB"
"Russian Federation",28763.5166314767,"RUS"
"Rwanda",2137.85003375422,"RWA"
"Saudi Arabia",48719.8640511511,"SAU"
"Solomon Islands",2421.01587761163,"SLB"
"Seychelles",28657.4083311494,"SYC"
"Sudan",4258.77516056581,"SDN"
"Sweden",53746.7991694027,"SWE"
"Singapore",100051.434417112,"SGP"
"Slovenia",38749.2519820723,"SVN"
"Slovak Republic",32574.8231445651,"SVK"
"Sierra Leone",1702.54096972903,"SLE"
"San Marino",60750.4477590281,"SMR"
"Senegal",3393.00441959255,"SEN"
"Somalia",,"SOM"
"Suriname",17001.3478352264,"SUR"
"South Sudan",,"SSD"
"Sao Tome and Principe",4037.85231448918,"STP"
"El Salvador",8818.8772066466,"SLV"
"Sint Maarten (Dutch part)",,"SXM"
"Syrian Arab Republic",,"SYR"
"Eswatini",8809.15286953779,"SWZ"
"Turks and Caicos Islands",27055.1735079577,"TCA"
"Chad",1613.51493493417,"TCD"
"Togo",1589.18301454703,"TGO"
"Thailand",18513.2935729552,"THA"
"Tajikistan",3311.0510430186,"TJK"
"Timor-Leste",3152.57086698777,"TLS"
"Turkmenistan",15195.633467324,"TKM"
"Tunisia",11017.7777650546,"TUN"
"Tonga",6414.78272120568,"TON"
"Turkey",28139.1437604424,"TUR"
"Trinidad and Tobago",26892.8681030744,"TTO"
"Tuvalu",4046.54967240322,"TUV"
"Tanzania",2651.09104726589,"TZA"
"Ukraine",12629.1416610826,"UKR"
"Uganda",2172.18505374661,"UGA"
"United States",62996.6648157742,"USA"
"Uruguay",22100.3106362735,"URY"
"Uzbekistan",6914.88951338997,"UZB"
"St. Vincent and the Grenadines",12760.5851522302,"VCT"
"Venezuela, RB",,"VEN"
"British Virgin Islands",,"VGB"
"Virgin Islands (U.S.)",,"VIR"
"Vietnam",7765.40025229988,"VNM"
"Vanuatu",3203.7415796427,"VUT"
"Samoa",6478.70777127486,"WSM"
"Kosovo",11152.3810337061,"XKX"
"Yemen, Rep.",,"YEM"
"South Africa",12928.7942146079,"ZAF"
"Zambia",3604.62894330623,"ZMB"
"Zimbabwe",3203.8885542944,"ZWE"
